failure,model,positives,n,PR AUC (average precision),ROC AUC,Brier,Precision at 0.5,Recall at 0.5,F1 at 0.5
TWF,Calibrated forest,10,2000,0.059547735437222866,0.9143216080402009,0.004967521229529991,0.0,0.0,0.0
TWF,Prevalence baseline,10,2000,0.005,0.5,0.004975250000000002,0.0,0.0,0.0
HDF,Calibrated forest,0,2000,,,3.317497240866426e-06,0.0,0.0,0.0
HDF,Prevalence baseline,0,2000,,,0.00020664062499999996,0.0,0.0,0.0
PWF,Calibrated forest,10,2000,0.9999999999999999,1.0,9.35929690646252e-08,1.0,1.0,1.0
PWF,Prevalence baseline,10,2000,0.005,0.5,0.005006640624999999,0.0,0.0,0.0
OSF,Calibrated forest,21,2000,1.0000000000000002,1.0,0.0002538900767244747,1.0,1.0,1.0
OSF,Prevalence baseline,21,2000,0.0105,0.5,0.010390515625000001,0.0,0.0,0.0
RNF,Calibrated forest,0,2000,,,5.4127809360227856e-06,0.0,0.0,0.0
RNF,Prevalence baseline,0,2000,,,5.640625000000002e-06,0.0,0.0,0.0
Machine failure,Calibrated forest,39,2000,0.7826438376826598,0.9547195962290302,0.00906279140267118,1.0,0.46153846153846156,0.631578947368421
Machine failure,Prevalence baseline,39,2000,0.0195,0.5,0.01944375000000001,0.0,0.0,0.0
